Experiment,subj,condition,age,sex,phase,epoch,block,trial,cue,resp,out,numResp,RT,ICU,ICU_Exp_medSplit,AOI_out_p2,AOI_out_p2_1s,tOutFix,tOutFix_1s
Exp3,P105_Exp3,NA,20,F,3,9,17,68,11,3,15,1,507.873371625465,15,Low,397,NA,317,NA
Exp3,P105_Exp3,NA,20,F,3,9,18,69,12,4,16,1,827.684456588031,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,3,9,18,70,10,2,14,1,698.453157016047,15,Low,0,NA,NA,NA
Exp3,P105_Exp3,NA,20,F,3,9,18,71,11,3,15,1,1095.01565437495,15,Low,216,NA,260,NA
Exp3,P105_Exp3,NA,20,F,3,9,18,72,9,1,13,1,293.165745596525,15,Low,0,NA,NA,NA
Exp3,P106_Exp3,NA,18,F,1,1,1,1,3,3,7,3,5319.62041268844,14,Low,293,NA,203,NA
Exp3,P106_Exp3,NA,18,F,1,1,1,2,2,2,6,1,1976.49463711241,14,Low,236,NA,190,NA
Exp3,P106_Exp3,NA,18,F,1,1,1,3,1,1,5,2,2683.14487085308,14,Low,147,NA,223,NA
Exp3,P106_Exp3,NA,18,F,1,1,1,4,4,4,8,1,1311.09213456284,14,Low,257,NA,240,NA
Exp3,P106_Exp3,NA,18,F,1,1,2,5,2,2,6,1,3728.12110136829,14,Low,207,NA,193,NA
Exp3,P106_Exp3,NA,18,F,1,1,2,6,1,1,5,1,1788.56251439447,14,Low,0,NA,NA,NA
Exp3,P106_Exp3,NA,18,F,1,1,2,7,4,4,8,1,1132.60351098324,14,Low,0,NA,NA,NA
Exp3,P106_Exp3,NA,18,F,1,1,2,8,3,3,7,1,767.692637874006,14,Low,190,NA,207,NA
Exp3,P106_Exp3,NA,18,F,1,2,3,9,4,4,8,1,2769.19164432184,14,Low,0,NA,NA,NA
Exp3,P106_Exp3,NA,18,F,1,2,3,10,2,2,6,2,2034.80073567835,14,Low,117,NA,213,NA
Exp3,P106_Exp3,NA,18,F,1,2,3,11,1,1,5,1,3289.52406998042,14,Low,0,NA,NA,NA
